0.63,0.31,0.69,0.37,1770417199101,2064.22
0.63,0.28,0.69,0.37,1770417251321,2065.35
0.63,0.28,0.72,0.37,1770417251336,2065.35
0.63,0.29,0.72,0.37,1770417251367,2065.35
0.63,0.29,0.71,0.37,1770417252860,2065.47
0.63,0.28,0.71,0.37,1770417263016,2065.07
0.63,0.28,0.72,0.37,1770417263025,2065.07
0.66,0.28,0.72,0.37,1770417263081,2065.07
0.63,0.28,0.72,0.34,1770417263118,2065.07
0.63,0.28,0.72,0.37,1770417263123,2065.07
0.64,0.28,0.72,0.37,1770417263140,2065.07
0.64,0.28,0.72,0.36,1770417263158,2065.07
0.67,0.28,0.72,0.36,1770417263164,2065.07
0.67,0.28,0.72,0.33,1770417263182,2065.07
0.67,0.25,0.72,0.33,1770417269894,2067.9
0.66,0.25,0.75,0.33,1770417269901,2067.9
0.67,0.25,0.75,0.34,1770417269908,2067.9
0.67,0.25,0.75,0.33,1770417269926,2067.9
0.7,0.25,0.75,0.33,1770417269936,2067.9
0.7,0.25,0.75,0.3,1770417269960,2067.9
0.7,0.26,0.75,0.3,1770417270030,2067.9
0.7,0.26,0.74,0.3,1770417270047,2067.9
0.7,0.25,0.74,0.3,1770417270115,2067.9
0.7,0.25,0.75,0.3,1770417270116,2067.9
0.69,0.25,0.75,0.3,1770417270819,2070.99
0.71,0.25,0.75,0.31,1770417270854,2070.99
0.71,0.25,0.75,0.29,1770417270855,2070.99
0.63,0.25,0.75,0.29,1770417306363,2071.48
0.63,0.25,0.75,0.37,1770417306364,2071.48
0.65,0.25,0.75,0.37,1770417306378,2071.48
0.65,0.25,0.75,0.35,1770417306394,2071.48
0.69,0.25,0.75,0.35,1770417306403,2071.48
0.69,0.25,0.75,0.31,1770417306445,2071.48
0.69,0.26,0.75,0.31,1770417306911,2071.48
0.69,0.26,0.74,0.31,1770417306920,2071.48
0.69,0.25,0.74,0.31,1770417314883,2070.18
0.69,0.25,0.75,0.31,1770417314884,2070.18
0.69,0.24,0.75,0.31,1770417329111,2071.79
0.68,0.24,0.76,0.31,1770417329112,2071.79
0.68,0.24,0.76,0.32,1770417329113,2071.79
0.56,0.24,0.76,0.32,1770417329117,2071.79
0.69,0.24,0.76,0.44,1770417329144,2071.79
0.73,0.24,0.76,0.31,1770417329188,2071.79
0.73,0.24,0.76,0.27,1770417329189,2071.79
0.73,0.22,0.76,0.27,1770417329350,2072.92
0.73,0.22,0.78,0.27,1770417329351,2072.92
0.7,0.22,0.78,0.27,1770417329367,2072.92
0.7,0.22,0.84,0.3,1770417329368,2072.92
0.7,0.16,0.84,0.3,1770417329389,2072.92
0.75,0.16,0.84,0.3,1770417329427,2072.92
0.75,0.16,0.84,0.25,1770417329453,2072.92
0.75,0.17,0.84,0.25,1770417333289,2075.91
0.75,0.17,0.83,0.25,1770417333318,2075.91
0.75,0.16,0.83,0.25,1770417333946,2075.91
0.75,0.18,0.84,0.25,1770417333990,2075.91
0.75,0.18,0.82,0.25,1770417334183,2075.91
0.7,0.18,0.82,0.25,1770417339480,2075.83
0.64,0.16,0.84,0.3,1770417344977,2075.82
0.71,0.16,0.84,0.36,1770417344981,2075.82
0.71,0.16,0.84,0.29,1770417344999,2075.82
0.65,0.16,0.84,0.29,1770417345001,2075.82
0.64,0.16,0.84,0.35,1770417345046,2075.82
0.66,0.16,0.84,0.36,1770417345048,2075.82
0.67,0.16,0.84,0.34,1770417345083,2075.82
0.67,0.16,0.84,0.33,1770417345084,2075.82
